,,mean,mean,std,std
,,acc,loss,acc,loss
page-blocks,isotonic,0.970090502788,0.0958174154752,0.00531004937891,0.0265695377469
page-blocks,sigmoid,0.970401005712,0.0967255653109,0.00532843584827,0.0157150192188
pendigits,None,0.998171232645,0.00690903646124,0.00084015000885,0.00237715090302
pendigits,beta,0.99810759624,0.00703375557251,0.00085940612827,0.00327496307149
pendigits,beta_ab,0.998171232645,0.00677723514647,0.00084015000885,0.00304355321105
pendigits,beta_am,0.998162166559,0.00676169301253,0.000862352738932,0.00292352202874
pendigits,isotonic,0.998034769567,0.0133462951175,0.000834956148071,0.0115960499452
pendigits,sigmoid,0.998125790505,0.0079322950302,0.0008705069209,0.00344559948554
scene-classification,None,0.843661179093,0.603893448212,0.013978880145,0.0831165407795
scene-classification,beta,0.848604124073,0.34873828407,0.0132638633431,0.0202524201753
scene-classification,beta_ab,0.843661179093,0.351559477407,0.013978880145,0.0221811770568
scene-classification,beta_am,0.848519838583,0.34852736941,0.0144659995996,0.0202408076887
scene-classification,isotonic,0.847730594183,0.3779164417,0.0140550895155,0.0708249351964
scene-classification,sigmoid,0.847024160851,0.383410118205,0.0148270253271,0.0193402807581
segment,None,0.997402597403,0.0119802939113,0.00205109758216,0.00702148005052
segment,beta,0.997575757576,0.0115170386801,0.00198668873274,0.0122523033488
segment,beta_ab,0.997402597403,0.0124542321745,0.00205109758216,0.0115024349276
segment,beta_am,0.997532467532,0.0127462969771,0.00209765128091,0.0138480371934
segment,isotonic,0.997402597403,0.0250763093142,0.00209719541841,0.0381660154669
segment,sigmoid,0.997619047619,0.0134830292258,0.00215343046957,0.0130542967568
shuttle,None,0.999247284809,0.00614324916595,0.000258395106034,0.00290884602237
shuttle,beta,0.999254182235,0.00460884499054,0.000262381628563,0.00229754105104
shuttle,beta_ab,0.999247284809,0.00476365424144,0.000258395106034,0.00245383151267
shuttle,beta_am,0.9992502413,0.00551533256538,0.000257672894407,0.00297161432606
shuttle,isotonic,0.999273887445,0.00406943281439,0.000269420543954,0.0018484576243
shuttle,sigmoid,0.999263049376,0.00439611643157,0.000250198494105,0.0014899644604
sonar,None,0.853300380844,0.394554949315,0.0499263907032,0.137986738123
sonar,beta,0.852360154499,0.353804934764,0.0501215958675,0.0751645367397
sonar,beta_ab,0.853300380844,0.353042964587,0.0499263907032,0.0755767454103
sonar,beta_am,0.850464846177,0.349942466943,0.0514734384477,0.0751659652176
